,ITEM_NAME,ITEM_BRAND,ITEM_PRICE,ITEM_IMG,CATEGORY,ITEM_STATUES,YEAR,MONTH
82,Papaya(M) Soap Bar 6*1 135 gm,Papaya(M),12.55,"https://www.nahdionline.com/media/catalog/product/1/0/100627337_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
83,Lux Soap Secret Bliss 125/120 gm,Lux,4.75,"https://www.nahdionline.com/media/catalog/product/1/0/100616961_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
84,Nahdi Antibacterial Hand Wash Sensitive Olive Extract 200 ml,Nahdi,11.5,"https://www.nahdionline.com/media/catalog/product/1/0/101139642_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
85,Nahdi Antibacterial Hand Wash Total Care Aloe Vera Extract 500 ml,Nahdi,20.95,"https://www.nahdionline.com/media/catalog/product/1/0/101139626_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
86,Dettol Soap Fresh 120 gm,Dettol,7.54,"https://www.nahdionline.com/media/catalog/product/1/0/100523087_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
87,Bioderma Soap Atoderm 150 gm,Bioderma,57.75,"https://www.nahdionline.com/media/catalog/product/1/0/100533912_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
88,Lifebuoy Hand Wash Nature 200 ml,Lifebuoy,13.5,"https://www.nahdionline.com/media/catalog/product/1/0/100564153_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
89,Dettol Soap Active 165 gm,Dettol,8.86,"https://www.nahdionline.com/media/catalog/product/1/0/100523618_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
90,Lux Liquid Soap Soft Touch Soft & Smooth 500 ml,Lux,14.96,"https://www.nahdionline.com/media/catalog/product/1/0/100624822_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
91,Lifebuoy Soap Mild Care 70 gm,Lifebuoy,4.73,"https://www.nahdionline.com/media/catalog/product/1/0/100523651_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
92,Lifebuoy Hand Wash Cool Fresh 500 ml,Lifebuoy,22.46,"https://www.nahdionline.com/media/catalog/product/1/0/100550923_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
93,Lux Liquid Soap Magical Beauty 500 ml,Lux,14.96,"https://www.nahdionline.com/media/catalog/product/1/0/100624793_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
94,Lifebuoy Hand Wash Cool Fresh 200 ml,Lifebuoy,13.5,"https://www.nahdionline.com/media/catalog/product/1/0/100550915_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
95,Dettol Soap Fresh 70/75 gm,Dettol,5.5,"https://www.nahdionline.com/media/catalog/product/1/0/100523044_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
96,Dettol Liquid Soap Sensitive (Pump) 250/200 ml,Dettol,15.7,"https://www.nahdionline.com/media/catalog/product/1/0/100551109_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
97,Dettol Hand Wash Original 400/500 ml,Dettol,30.03,"https://www.nahdionline.com/media/catalog/product/1/0/100523765_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
98,Dove Soap Pink L/S 135 gm,Dove,7.0,"https://www.nahdionline.com/media/catalog/product/1/0/100552751_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
99,Dettol Soap Original 120 gm,Dettol,7.54,"https://www.nahdionline.com/media/catalog/product/1/0/100523061_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
100,Beesline Soap Facial Whitening 85 gm,Beesline,26.25,"https://www.nahdionline.com/media/catalog/product/1/0/100532418_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
101,Lifebuoy Hand Wash Nature 500 ml,Lifebuoy,22.46,"https://www.nahdionline.com/media/catalog/product/1/0/100559039_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
102,Sanctuary Spa Hand Wash 250ml,Sanctuary Spa,45.15,"https://www.nahdionline.com/media/catalog/product/1/0/100997733_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
103,Dettol Soap Cool 120 gm,Dettol,7.54,"https://www.nahdionline.com/media/catalog/product/1/0/100524653_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
104,Dettol Liquid Soap Sensitive (Pump) 400 /500 ml,Dettol,30.03,"https://www.nahdionline.com/media/catalog/product/1/0/100551117_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
105,Beesline Hajj Kit,Beesline,40.95,"https://www.nahdionline.com/media/catalog/product/1/0/100846880_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,other,2020,3
